timestamp,satellite,azimuth_deg,elevation_deg,distance_km,relative_velocity_kms,doppler_shift_hz,tx_freq_ghz,rx_freq_hz,ue_lat,ue_lon,ue_alt_m,time_minutes
2026-02-06T21:29:56+00:00,SAT-58402,198.7558056915083,31.7681575501887,973.0930261872932,-0.1289087689859423,4514.930373439863,10.5,10500004514.930374,47.655,-122.3035,60.0,6.816666666666666
2026-02-06T21:29:57+00:00,SAT-58402,198.25606991687104,31.77395203178745,972.9644630049276,-0.0794002484426303,2780.932563178818,10.5,10500002780.932564,47.655,-122.3035,60.0,6.833333333333333
2026-02-06T21:29:58+00:00,SAT-58402,197.75617643791708,31.77742469839799,972.8852756175938,-0.02987964762265889,1046.5116505296419,10.5,10500001046.51165,47.655,-122.3035,60.0,6.85
2026-02-06T21:29:59+00:00,SAT-58402,197.25620148043433,31.778573753291568,972.8554760731828,0.019645441405264367,-688.0664581471087,10.5,10499999311.933542,47.655,-122.3035,60.0,6.866666666666666
2026-02-06T21:30:00+00:00,SAT-58402,196.75622134853262,31.777398558766404,972.8750688478707,0.06916742131159503,-2422.5356722341157,10.5,10499997577.464327,47.655,-122.3035,60.0,6.883333333333334
2026-02-06T21:30:01+00:00,SAT-58402,196.2563123496446,31.773899637198717,972.944050840871,0.11867869787569606,-4156.630010001148,10.5,10499995843.36999,47.655,-122.3035,60.0,6.9
2026-02-06T21:30:02+00:00,SAT-58402,195.75655072210543,31.76807867024545,973.0624113775351,0.1681716849223034,-5890.083771500968,10.5,10499994109.91623,47.655,-122.3035,60.0,6.916666666666667
2026-02-06T21:30:03+00:00,SAT-58402,195.2570125728909,31.759938496372655,973.230132217378,0.2176388098358376,-7622.631731703854,10.5,10499992377.368269,47.655,-122.3035,60.0,6.933333333333334
2026-02-06T21:30:04+00:00,SAT-58402,194.7577738034947,31.749483106667707,973.4471875675989,0.26707252019406946,-9354.009372836623,10.5,10499990645.990627,47.655,-122.3035,60.0,6.95
2026-02-06T21:30:05+00:00,SAT-58402,194.2589100405742,31.736717638913337,973.7135441032223,0.31646528820437014,-11083.95303975888,10.5,10499988916.04696,47.655,-122.3035,60.0,6.966666666666667
2026-02-06T21:30:06+00:00,SAT-58402,193.7604965708613,31.721648370032426,974.0291609916612,0.36580961768842984,-12812.200184597417,10.5,10499987187.799816,47.655,-122.3035,60.0,6.983333333333333
2026-02-06T21:30:07+00:00,SAT-58402,193.26260827046252,31.704282706808467,974.3939899242464,0.4150980492268393,-14538.489546931205,10.5,10499985461.510452,47.655,-122.3035,60.0,7.0
2026-02-06T21:30:08+00:00,SAT-58402,192.76531953979222,31.68462917498793,974.8079751528866,0.4643231640534509,-16262.561290188409,10.5,10499983737.43871,47.655,-122.3035,60.0,7.016666666666667
